timestamp,temp_c,cloud_pct,wind_speed,wind_gust,hour_of_day,day_of_year,day_of_week,is_lab_hour,is_hostel_peak,solar_kw,wind_kw,demand_kw
2026-08-03 00:00:00,26.3,100,10.3,18.7,0,215,0,0,0,0.0,15.8,53.8
2026-08-03 01:00:00,26.4,100,11.4,21.2,1,215,0,0,0,0.0,14.8,51.5
2026-08-03 02:00:00,26.2,100,11.8,22.0,2,215,0,0,0,0.0,18.6,58.7
2026-08-03 03:00:00,26.0,100,12.6,24.1,3,215,0,0,0,0.0,21.7,56.9
2026-08-03 04:00:00,26.1,100,11.8,23.8,4,215,0,0,0,0.0,17.7,55.1
2026-08-03 05:00:00,26.4,100,13.0,22.7,5,215,0,0,0,0.0,21.5,58.8
2026-08-03 06:00:00,25.8,100,11.8,27.0,6,215,0,0,0,0.0,22.0,47.9
2026-08-03 07:00:00,24.9,100,8.4,24.8,7,215,0,0,0,0.0,13.9,45.9
2026-08-03 08:00:00,25.8,99,11.1,24.5,8,215,0,0,0,0.0,20.7,54.0
2026-08-03 09:00:00,27.1,100,8.6,25.9,9,215,0,1,0,19.7,17.8,162.2
2026-08-03 10:00:00,28.5,96,10.4,24.8,10,215,0,1,0,55.0,14.3,173.8
2026-08-03 11:00:00,30.1,96,12.2,28.1,11,215,0,1,0,87.6,24.3,170.7
2026-08-03 12:00:00,30.4,100,13.3,33.5,12,215,0,1,0,123.3,24.9,172.0
2026-08-03 13:00:00,30.3,100,14.5,34.2,13,215,0,1,0,87.1,29.7,177.7
2026-08-03 14:00:00,31.4,100,13.9,34.6,14,215,0,1,0,55.9,29.0,172.4
2026-08-03 15:00:00,32.0,100,13.8,36.7,15,215,0,1,0,18.4,26.4,183.1
2026-08-03 16:00:00,31.1,100,15.6,34.6,16,215,0,1,0,0.0,28.0,176.8
2026-08-03 17:00:00,31.1,98,15.0,34.6,17,215,0,1,0,0.0,30.2,184.9
2026-08-03 18:00:00,30.4,94,10.4,31.7,18,215,0,0,1,0.0,20.8,155.0
2026-08-03 19:00:00,29.4,100,5.8,20.9,19,215,0,0,1,0.0,12.1,149.3
2026-08-03 20:00:00,28.8,98,9.2,17.6,20,215,0,0,1,0.0,9.7,149.9
2026-08-03 21:00:00,28.4,99,8.0,18.0,21,215,0,0,1,0.0,8.7,142.9
2026-08-03 22:00:00,28.3,99,8.7,17.3,22,215,0,0,1,0.0,8.2,147.7
2026-08-03 23:00:00,28.4,100,11.3,18.7,23,215,0,0,1,0.0,17.9,153.5
2026-08-04 00:00:00,28.0,99,14.1,28.4,0,216,1,0,0,0.0,22.4,65.4
2026-08-04 01:00:00,27.4,100,14.1,29.5,1,216,1,0,0,0.0,24.6,52.9
2026-08-04 02:00:00,26.9,100,13.2,29.2,2,216,1,0,0,0.0,25.6,57.3
2026-08-04 03:00:00,26.5,100,14.8,29.9,3,216,1,0,0,0.0,28.8,62.3
2026-08-04 04:00:00,26.3,100,11.7,30.2,4,216,1,0,0,0.0,21.7,49.5
2026-08-04 05:00:00,27.8,98,13.4,22.3,5,216,1,0,0,0.0,24.2,76.1
2026-08-04 06:00:00,27.6,100,12.5,27.0,6,216,1,0,0,0.0,28.9,55.7
2026-08-04 07:00:00,27.7,100,10.1,25.6,7,216,1,0,0,0.0,18.7,61.3
2026-08-04 08:00:00,28.1,100,10.0,23.0,8,216,1,0,0,0.0,15.6,60.6
2026-08-04 09:00:00,28.4,100,10.0,24.1,9,216,1,1,0,19.7,16.0,168.4
2026-08-04 10:00:00,29.2,100,8.9,25.6,10,216,1,1,0,53.8,17.9,169.7
2026-08-04 11:00:00,29.4,100,10.3,25.2,11,216,1,1,0,87.4,19.7,178.1
2026-08-04 12:00:00,30.5,100,10.5,27.0,12,216,1,1,0,123.5,18.3,182.3
2026-08-04 13:00:00,31.8,100,10.5,27.7,13,216,1,1,0,86.4,21.5,183.1
2026-08-04 14:00:00,32.2,100,11.0,28.4,14,216,1,1,0,53.2,20.4,184.8
2026-08-04 15:00:00,32.4,99,10.8,26.6,15,216,1,1,0,18.6,22.4,186.2
2026-08-04 16:00:00,32.4,97,10.7,25.6,16,216,1,1,0,0.0,21.8,193.6
2026-08-04 17:00:00,31.5,100,10.2,25.2,17,216,1,1,0,0.0,18.2,182.2
2026-08-04 18:00:00,31.0,100,7.9,19.8,18,216,1,0,1,0.0,11.9,156.3
2026-08-04 19:00:00,30.0,100,8.2,16.2,19,216,1,0,1,0.0,9.8,149.2
2026-08-04 20:00:00,29.2,94,11.6,23.4,20,216,1,0,1,0.0,16.4,159.3
